,One or More People in the Household over 60 receiving Food Stamps,"Percent male householder, no spouse present (SNAP)","Percent female householder, no spouse present (SNAP)",Percent households with no working member receiving food stamps,Percent households with only one working member receiving food stamps,Percent households with two or more working members receiving food stamps,Zip Code,Educational,Religious,RES_RATIO,BUS_RATIO,OTH_RATIO,distance_from_19140_km,distance_from_19140_miles,Average ADA for 3 years
0,33.6,0.0,12.48,14.285714285714286,42.85714285714285,42.85714285714285,19102,20.0,79.0,0.1000000001,0.0999999999,0.1000000001,,,
1,36.55714285714286,1.2357142857142858,17.428571428571427,31.73333333333333,46.04444444444445,22.22222222222222,19103,45.0,158.0,0.0714285714285714,0.0714285715,0.0714285714285714,8.165615833241128,5.0738768759168735,96.67
2,36.39,4.0200000000000005,29.0,26.594444444444445,45.40555555555555,27.994444444444444,19104,32.0,86.0,0.0416666666666666,0.041666666625,0.04166666675,8.025079290556201,4.9865515438521975,90.43380952380951
3,56.58888888888889,11.11111111111111,5.322222222222222,50.3,28.066666666666663,21.633333333333336,19106,13.0,60.0,0.0909090909090909,0.0909090908181818,0.090909091,8.080482755386011,5.020977650196961,93.86166666666668
4,58.3125,0.0,10.6,28.82857142857143,24.65714285714285,46.51428571428572,19107,21.0,70.0,0.125000000125,0.125,0.124999999875,,,
5,55.4,0.0,3.6,0.0,100.0,0.0,19109,,,1.0,1.0,1.0,,,
6,35.09444444444444,8.855555555555556,38.77777777777778,16.083333333333332,53.61111111111112,30.30555555555556,19111,8.0,28.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,7.764861219154609,4.824859580607319,91.23714285714286
7,54.5,1.0,32.300000000000004,56.65,36.9,6.4,19112,4.0,4.0,0.25,0.25,0.25,,,
8,27.6,0.0,47.1,17.9,0.0,82.1,19113,,,0.0,1.0,1.0,,,
9,45.30833333333334,5.541666666666667,33.475,26.05,45.29166666666666,28.65,19114,9.0,13.0,0.0769230769230769,0.076923077,0.0769230769230769,12.87749236042305,8.00170030548843,92.50666666666666
10,57.16363636363636,1.8909090909090909,22.509090909090908,26.55,40.31,33.13,19115,11.0,19.0,0.08333333325,0.08333333325,0.0833333334166666,10.805833306211309,6.714431447313827,95.6377777777778
11,50.84444444444445,5.033333333333333,27.522222222222226,24.27777777777778,38.27777777777778,37.41111111111111,19116,14.0,17.0,0.1111111111111111,0.1111111111111111,0.1111111108888888,13.938925987449304,8.661244379747362,92.33333333333331
12,28.25555555555556,10.533333333333331,27.87777777777778,8.88888888888889,58.78888888888889,32.32222222222222,19118,11.0,18.0,0.0909090908181818,0.090909091,0.0909090907272727,9.398690411165187,5.840073659476124,93.03333333333336
13,41.13,9.18,42.86,15.05,58.41,26.53,19119,16.0,25.0,0.0833333333333333,0.0833333333333333,0.08333333325,6.278579185556231,3.901327027108261,92.34222222222222
14,42.8,9.452631578947368,42.0,19.121052631578948,50.810526315789474,30.073684210526316,19120,8.0,22.0,0.05,0.05,0.05,2.450218204494936,1.5224945359452229,89.0730303030303
15,43.93888888888889,7.449999999999999,46.57222222222222,22.200000000000003,57.02777777777778,20.772222222222226,19121,12.0,34.0,0.0526315788947368,0.0526315789473684,0.0526315789473684,5.9581002784045936,3.702190728092541,83.60733333333334
16,48.43333333333334,4.866666666666666,36.35833333333333,27.55,48.833333333333336,23.633333333333336,19122,11.0,28.0,0.0833333333333333,0.0833333334166666,0.0833333333333333,5.372995653663149,3.3386236823123245,85.44238095238096
17,69.91428571428571,16.242857142857144,30.75714285714286,31.5,30.97142857142857,37.52857142857143,19123,16.0,35.0,0.1,0.0999999999,0.1,6.372148018724021,3.959467986542564,91.67083333333332
18,35.50476190476191,11.404761904761903,42.871428571428574,20.89047619047619,53.60476190476191,25.51428571428572,19124,17.0,25.0,0.0454545454090909,0.0454545454090909,0.0454545455,2.3929309544097603,1.4868979000725473,85.21666666666667
19,43.306666666666665,8.8,39.26,20.92666666666667,54.973333333333336,24.09333333333333,19125,15.0,20.0,0.0625000000625,0.0625,0.0625,2.5346907411173447,1.5749833204988255,86.87619047619047
20,48.47777777777778,5.111111111111111,36.58888888888889,14.366666666666667,41.02222222222222,44.62222222222223,19126,8.0,16.0,0.1111111109999999,0.1111111112222222,0.1111111111111111,4.559389361043825,2.833072326661163,89.5988888888889
21,70.75,12.8,17.55,52.125,17.275,30.6,19127,6.0,4.0,0.2,0.2000000001999999,0.2000000002,9.116595295645606,5.664787935450606,92.99666666666668
22,46.333333333333336,8.308333333333332,21.616666666666664,28.366666666666664,45.85833333333333,25.775,19128,8.0,23.0,0.0666666667333333,0.0666666668,0.0666666666666666,9.76737047844191,6.069160761559928,90.3472222222222
23,43.644444444444446,2.411111111111111,25.83333333333333,38.06666666666667,47.900000000000006,14.033333333333331,19129,4.0,10.0,0.1,0.0999999999,0.1,4.977868913445589,3.093103384616599,87.24000000000001
24,37.33571428571429,6.521428571428571,37.44285714285714,21.53333333333333,44.85,33.608333333333334,19130,17.0,36.0,0.0666666666,0.0666666666,0.0666666666666666,6.405848168851309,3.9804082825273066,89.43111111111112
25,40.97368421052632,6.28421052631579,36.242105263157896,32.833333333333336,40.61111111111112,26.544444444444444,19131,25.0,26.0,0.04999999995,0.04999999995,0.04999999995,8.783058046009229,5.4575375611068,85.96799999999999
26,50.5375,3.48125,40.74375,32.3125,40.35,27.33125,19132,8.0,23.0,0.0588235294705882,0.0588235295882352,0.0588235293529411,3.681282359926394,2.287442101269823,82.80199999999999
27,45.323076923076925,6.523076923076923,42.74615384615385,25.45384615384615,47.11538461538461,27.423076923076923,19133,6.0,5.0,0.0769230768461538,0.0769230769230769,0.076923077,2.3834628485492337,1.481014693665886,83.83722222222222
28,37.150000000000006,8.677777777777777,46.672222222222224,27.61111111111111,47.45,24.93333333333333,19134,6.0,23.0,0.052631579,0.0526315788947368,0.052631579,3.3467166434034907,2.0795526674282705,86.55814814814815
29,33.68181818181818,9.518181818181818,39.054545454545455,15.590909090909092,47.08181818181818,37.33636363636364,19135,8.0,16.0,0.090909091090909,0.0909090908181818,0.090909091,6.942379034640181,4.313793003133404,87.55
