One or More People in the Household over 60 receiving Food Stamps,"Percent male householder, no spouse present (SNAP)","Percent female householder, no spouse present (SNAP)",Percent households with no working member receiving food stamps,Percent households with only one working member receiving food stamps,Percent households with two or more working members receiving food stamps,zip,Educational,Religious,RES_RATIO,BUS_RATIO,OTH_RATIO
33.6,0.0,12.48,14.285714285714286,42.857142857142854,42.857142857142854,19102,20.0,79.0,0.10000000010000001,0.0999999999,0.10000000010000001
36.55714285714286,1.2357142857142858,17.428571428571427,31.733333333333334,46.044444444444444,22.22222222222222,19103,45.0,158.0,0.07142857142857142,0.07142857150000001,0.07142857142857142
36.39,4.0200000000000005,29.0,26.594444444444445,45.40555555555555,27.994444444444444,19104,32.0,86.0,0.041666666666666664,0.041666666625,0.04166666675
56.58888888888889,11.11111111111111,5.322222222222222,50.300000000000004,28.066666666666666,21.633333333333336,19106,13.0,60.0,0.09090909090909091,0.09090909081818183,0.09090909100000001
58.3125,0.0,10.6,28.82857142857143,24.657142857142855,46.51428571428572,19107,21.0,70.0,0.125000000125,0.125,0.124999999875
55.4,0.0,3.6,0.0,100.0,0.0,19109,,,1.0,1.0,1.0
35.09444444444444,8.855555555555556,38.77777777777778,16.083333333333332,53.611111111111114,30.305555555555557,19111,8.0,28.0,0.05263157894736842,0.05263157894736842,0.05263157894736842
54.5,1.0,32.300000000000004,56.65,36.9,6.4,19112,4.0,4.0,0.25,0.25,0.25
27.6,0.0,47.1,17.9,0.0,82.1,19113,,,0.0,1.0,1.0
45.30833333333334,5.541666666666667,33.475,26.049999999999997,45.291666666666664,28.650000000000002,19114,9.0,13.0,0.07692307692307693,0.076923077,0.07692307692307693
57.16363636363636,1.8909090909090909,22.509090909090908,26.55,40.31,33.13,19115,11.0,19.0,0.08333333325,0.08333333325,0.08333333341666667
50.84444444444445,5.033333333333333,27.522222222222226,24.27777777777778,38.27777777777778,37.41111111111111,19116,14.0,17.0,0.1111111111111111,0.1111111111111111,0.11111111088888889
