One or More People in the Household over 60 receiving Food Stamps,"Percent male householder, no spouse present (SNAP)","Percent female householder, no spouse present (SNAP)",Percent households with no working member receiving food stamps,Percent households with only one working member receiving food stamps,Percent households with two or more working members receiving food stamps,zip,Educational,Religious,RES_RATIO,BUS_RATIO,OTH_RATIO
41.375,5.225,37.28,31.119999999999997,46.85,22.02,19144,24.0,38.0,0.04545454554545454,0.045454545454545456,0.04545454527272727
47.833333333333336,8.646666666666667,31.373333333333335,33.059999999999995,33.373333333333335,33.553333333333335,19145,20.0,13.0,0.04545454540909091,0.04545454554545454,0.045454545454545456
38.0,4.078947368421052,33.52105263157895,28.78421052631579,43.87894736842105,27.347368421052632,19146,16.0,30.0,0.047619047619047616,0.04761904752380953,0.04761904766666667
54.40625,3.1875,19.19375,32.13846153846154,41.19230769230769,26.66923076923077,19147,35.0,28.0,0.058823529411764705,0.058823529529411764,0.058823529352941176
51.55714285714286,9.5,25.464285714285715,27.457142857142856,40.857142857142854,31.664285714285715,19148,9.0,26.0,0.05882352958823529,0.058823529352941176,0.058823529411764705
33.27368421052632,10.65263157894737,40.194736842105264,12.368421052631579,53.48947368421052,34.136842105263156,19149,12.0,17.0,0.052631578894736845,0.05263157894736842,0.05263157905263158
53.57142857142857,3.457142857142857,49.34285714285714,10.87857142857143,49.228571428571435,39.885714285714286,19150,4.0,12.0,0.07142857142857142,0.07142857135714285,0.07142857142857142
35.77272727272727,9.554545454545455,39.61818181818182,18.90909090909091,47.42727272727273,33.68181818181818,19151,9.0,25.0,0.08333333333333333,0.08333333341666667,0.08333333325
42.34444444444445,9.622222222222222,23.677777777777777,10.055555555555555,48.01111111111111,41.922222222222224,19152,7.0,17.0,0.1,0.1000000002,0.0999999999
37.67999999999999,3.66,42.8,12.68,42.32,45.0,19153,,,0.125,0.12499999987499999,0.12499999987499999
40.35555555555556,12.100000000000001,32.099999999999994,18.444444444444443,45.28888888888889,36.24444444444444,19154,11.0,26.0,0.0999999999,0.1000000002,0.09999999999999999
